Type,Instance,Name,PresentValue,Override,Description
Analog Input,1,Facility Outdoor Air Temperature,77.01798 °F,,
Analog Input,2,Facility Outdoor Air Humidity,85.28802 %,,
Analog Input,3,Air Valve Position Command|vav-1,0 %,,
Analog Input,4,Air Valve Size|vav-1,1700 CFM,,
Analog Input,5,Discharge Air Flow|vav-1,1030.2 CFM,,
Analog Input,6,Generic Temperature Input|vav-1,67.7 °F,,
Analog Input,7,Heating Capacity Secondary Status|vav-1,100 %,,
Analog Input,8,Reheat Type|vav-1,2,,
Analog Input,9,Secondary Communication Address|vav-1,108,,
Analog Input,10,Secondary Communication Link|vav-1,2,,
Analog Input,11,Space Temperature Active|vav-1,71.1 °F,,
Analog Input,12,Space Temperature Setpoint Active|vav-1,71.5 °F,,
Analog Input,13,Supply Fan Speed Status|vav-1,0 %,,
Analog Input,14,Supply Fan Type|vav-1,22,,
Analog Input,15,Ventilation Ratio|vav-1,17 %,,
Analog Input,16,Ventilation Setpoint Active|vav-1,170 CFM,,
Analog Input,17,Air Valve Position Command|vav-2,61 %,,
Analog Input,18,Air Valve Size|vav-2,1700 CFM,,
Analog Input,19,Discharge Air Flow|vav-2,827.9 CFM,,
Analog Input,20,Heating Capacity Secondary Status|vav-2,0 %,,
Analog Input,21,Reheat Type|vav-2,2,,
Analog Input,22,Secondary Communication Address|vav-2,107,,
Analog Input,23,Secondary Communication Link|vav-2,2,,
Analog Input,24,Space Temperature Active|vav-2,71.8 °F,,
Analog Input,25,Space Temperature Setpoint Active|vav-2,73.5 °F,,
Analog Input,26,Supply Fan Speed Status|vav-2,0 %,,
Analog Input,27,Supply Fan Type|vav-2,22,,
Analog Input,28,Ventilation Ratio|vav-2,21 %,,
Analog Input,29,Ventilation Setpoint Active|vav-2,170 CFM,,
Analog Input,30,Air Valve Position Command|vav-3,55 %,,
Analog Input,31,Air Valve Size|vav-3,1100 CFM,,
Analog Input,32,Discharge Air Flow|vav-3,510.4 CFM,,
Analog Input,33,Heating Capacity Secondary Status|vav-3,100 %,,
Analog Input,34,Reheat Type|vav-3,2,,
Analog Input,35,Secondary Communication Address|vav-3,106,,
Analog Input,36,Secondary Communication Link|vav-3,2,,
Analog Input,37,Space Temperature Active|vav-3,72.1 °F,,
Analog Input,38,Space Temperature Setpoint Active|vav-3,72.5 °F,,
Analog Input,39,Supply Fan Speed Status|vav-3,0 %,,
Analog Input,40,Supply Fan Type|vav-3,22,,
Analog Input,41,Ventilation Ratio|vav-3,0 %,,
